stnam,STATE,2017 total births,Home num,home/tot10k,ratio,home/tot10kratio
Alabama,ALABAMA,"58941","182","31","31","31"
Arizona,ARIZONA,"81872","706","86","86","86"
Arkansas,ARKANSAS,"37520","292","78","78","78"
California,CALIFORNIA,"471658","3520","75","75","75"
Colorado,COLORADO,"64658","1040","161","161","161"
Connecticut,CONNECTICUT,"35221","212","60","60","60"
Delaware,DELAWARE,"10855","83","76","76","76"
District of Columbia,DISTRICT OF COLUMBIA,"9560","56","59","59","59"
Florida,FLORIDA,"223630","2020","90","90","90"
Georgia,GEORGIA,"129243","822","64","64","64"
Idaho,IDAHO,"22181","504","227","227","227"
Illinois,ILLINOIS,"149390","784","52","52","52"
Indiana,INDIANA,"82170","1354","165","165","165"
Iowa,IOWA,"38430","489","127","127","127"
Kansas,KANSAS,"36519","449","123","123","123"
Kentucky,KENTUCKY,"54752","641","117","117","117"
Louisiana,LOUISIANA,"61018","173","28","28","28"
Maine,MAINE,"12298","243","198","198","198"
Maryland,MARYLAND,"71641","515","72","72","72"
Massachusetts,MASSACHUSETTS,"70702","402","57","57","57"
Michigan,MICHIGAN,"111426","1375","123","123","123"
Minnesota,MINNESOTA,"68595","972","142","142","142"
Mississippi,MISSISSIPPI,"37357","179","48","48","48"
Missouri,MISSOURI,"73034","1164","159","159","159"
Montana,MONTANA,"11799","323","274","274","274"
Nebraska,NEBRASKA,"25821","90","35","35","35"
Nevada,NEVADA,"35756","487","136","136","136"
New Hampshire,NEW HAMPSHIRE,"12116","143","118","118","118"
New Jersey,NEW JERSEY,"101250","397","39","39","39"
New Mexico,NEW MEXICO,"23767","283","119","119","119"
New York,NEW YORK,"229737","2339","102","102","102"
North Carolina,NORTH CAROLINA,"120125","642","53","53","53"
North Dakota,NORTH DAKOTA,"10737","123","115","115","115"
Ohio,OHIO,"136832","1482","108","108","108"
Oklahoma,OKLAHOMA,"50214","543","108","108","108"
Oregon,OREGON,"43631","916","210","210","210"
Pennsylvania,PENNSYLVANIA,"137745","2611","190","190","190"
Rhode Island,RHODE ISLAND,"10638","51","48","48","48"
South Carolina,SOUTH CAROLINA,"57029","406","71","71","71"
South Dakota,SOUTH DAKOTA,"12134","99","82","82","82"
Tennessee,TENNESSEE,"81016","785","97","97","97"
Texas,TEXAS,"382050","2378","62","62","62"
Utah,UTAH,"48585","993","204","204","204"
Vermont,VERMONT,"5655","145","256","256","256"
Virginia,VIRGINIA,"100391","878","87","87","87"
Washington,WASHINGTON,"87562","1877","214","214","214"
West Virginia,WEST VIRGINIA,"18675","125","67","67","67"
Wisconsin,WISCONSIN,"64975","1366","210","210","210"
Wyoming,WYOMING,"6903","160","232","232","232"
